step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,1568,32,0.4684649807333435,0.0,0.0,0.40151167216043615,0.0,0.0,,
2,3136,64,0.409336255423063,0.0,0.0,,,,,
3,4704,96,0.3403407997972215,0.0,0.0,,,,,
4,6272,128,0.3118215873620073,0.0,0.0,,,,,
5,8096,160,0.248610699103587,0.0,0.0,,,,,
6,9664,192,0.2625166804727165,0.0,0.0,,,,,
7,11232,224,0.21478699876901453,0.0,0.0,,,,,
8,12800,256,0.13250834425210614,0.0,0.0,,,,,
9,14368,288,0.060723572240856734,0.34375,0.34375,0.05938443832254127,0.46875,0.46875,,
10,15936,320,0.058881990748494296,0.375,0.375,,,,,
11,17504,352,0.04742245795950036,0.28125,0.28125,,,,,
12,19072,384,0.04933204557573693,0.34375,0.34375,,,,,
13,20896,416,0.044278817266323524,0.25,0.25,,,,,
14,22720,448,0.04368551598606115,0.4375,0.4375,,,,,
15,24288,480,0.050214130595572136,0.3125,0.3125,,,,,
16,26112,512,0.04392514432859441,0.25,0.25,,,,,
17,27680,544,0.049861093873523714,0.46875,0.46875,0.04422843319604605,0.5625,0.5625,,
18,28992,576,0.05505559398931109,0.4375,0.4375,,,,,
19,30560,608,0.0485936754636623,0.40625,0.40625,,,,,
20,31872,640,0.05765880967842896,0.4375,0.4375,,,,,
21,33440,672,0.044369027628429196,0.5625,0.5625,,,,,
22,35008,704,0.04628822032615972,0.4375,0.4375,,,,,
23,36576,736,0.04494533460170488,0.5625,0.5625,,,,,
24,38144,768,0.04391687230784252,0.46875,0.46875,,,,,
25,39968,800,0.03339197476685643,0.6875,0.6875,0.03833251459538284,0.625,0.625,,
26,41536,832,0.044111827032656946,0.71875,0.71875,,,,,
27,42848,864,0.05431233643537052,0.5,0.5,,,,,
28,44416,896,0.04730890380015656,0.375,0.375,,,,,
29,45984,928,0.04133481427482062,0.46875,0.46875,,,,,
30,47296,960,0.04729413234135792,0.53125,0.53125,,,,,
31,49888,992,0.02389975828616662,0.59375,0.59375,,,,,
32,51456,1024,0.03810530706040785,0.53125,0.53125,,,,,
33,52768,1056,0.04065035263615391,0.5625,0.5625,0.03482031357470381,0.59375,0.59375,,
34,54592,1088,0.030472640408000056,0.6875,0.6875,,,,,
35,56416,1120,0.03513967615031886,0.5,0.5,,,,,
36,57984,1152,0.03579412153470609,0.6875,0.6875,,,,,
37,59296,1184,0.0401818555540267,0.75,0.75,,,,,
38,60864,1216,0.03522566297754565,0.6875,0.6875,,,,,
39,62432,1248,0.03400441432019913,0.71875,0.71875,,,,,
40,64000,1280,0.03963747566159782,0.53125,0.53125,,,,,
41,65824,1312,0.02549486598952821,0.75,0.75,0.039297474281205724,0.8125,0.8125,,
42,67392,1344,0.031683137175556715,0.75,0.75,,,,,
43,68960,1376,0.03427734103076394,0.59375,0.59375,,,,,
44,70272,1408,0.03746030053967116,0.6875,0.6875,,,,,
45,72864,1440,0.021372280427189253,0.6875,0.6875,,,,,
46,74688,1472,0.03123905955261892,0.5625,0.5625,,,,,
47,76256,1504,0.034786522351472136,0.625,0.625,,,,,
48,77568,1536,0.04303866101073618,0.5,0.5,,,,,
49,78880,1568,0.03984678831926249,0.6875,0.6875,0.033196177957186136,0.65625,0.65625,,
50,80448,1600,0.030378133483160735,0.71875,0.71875,,,,,
51,81760,1632,0.029874646116200894,0.8125,0.8125,,,,,
52,83328,1664,0.03548993092952211,0.5,0.5,,,,,
